iter	Passed	Remaining
721	37513	14444
722	37561	14390
723	37609	14337
724	37660	14284
725	37711	14232
726	37762	14180
727	37816	14129
728	37866	14076
729	37914	14023
730	37959	13968
731	38010	13916
732	38059	13863
733	38108	13810
734	38155	13756
735	38208	13705
736	38263	13654
737	38333	13608
738	38400	13562
739	38452	13510
740	38508	13459
741	38556	13406
742	38611	13355
743	38672	13306
744	38729	13256
745	38801	13211
746	38864	13163
747	38926	13114
748	38974	13061
749	39020	13006
750	39067	12953
751	39118	12900
752	39167	12847
753	39217	12795
754	39274	12744
755	39333	12694
756	39404	12648
757	39469	12600
758	39524	12550
759	39581	12499
760	39633	12447
761	39687	12395
762	39742	12344
763	39788	12290
764	39845	12240
765	39891	12186
766	39944	12134
767	39998	12082
768	40056	12032
769	40105	11979
770	40158	11927
771	40204	11873
772	40267	11825
773	40324	11774
774	40380	11723
775	40440	11673
776	40502	11624
777	40551	11571
778	40600	11518
779	40654	11466
780	40717	11417
781	40778	11367
782	40837	11317
783	40895	11267
784	40955	11217
785	41017	11167
786	41070	11115
787	41129	11065
788	41181	11013
789	41229	10959
790	41279	10906
791	41345	10858
792	41409	10809
793	41464	10757
794	41529	10708
795	41590	10658
796	41646	10607
797	41694	10554
798	41748	10502
799	41799	10449
800	41851	10397
801	41916	10348
802	41972	10297
803	42024	10244
804	42093	10196
805	42146	10144
806	42197	10091
807	42255	10040
808	42311	9989
809	42372	9939
810	42459	9895
811	42558	9853
812	42640	9807
813	42697	9756
814	42753	9704
815	42816	9654
816	42874	9603
817	42938	9553
818	43007	9504
819	43072	9454
820	43128	9403
821	43188	9352
822	43238	9299
823	43291	9246
824	43346	9194
825	43406	9143
826	43469	9093
827	43531	9042
828	43610	8995
829	43664	8943
830	43725	8892
831	43785	8841
832	43832	8787
833	43888	8735
834	43945	8683
835	43997	8631
836	44058	8580
837	44120	8529
838	44171	8476
839	44227	8424
840	44278	8371
841	44333	8319
842	44396	8268
843	44443	8214
844	44506	8163
845	44556	8110
846	44610	8058
847	44670	8007
848	44723	7954
849	44781	7902
850	44842	7851
851	44900	7799
852	44964	7748
853	45028	7698
854	45102	7648
855	45161	7597
856	45217	7545
857	45289	7495
858	45357	7445
859	45426	7394
860	45487	7343
861	45548	7291
862	45607	7240
863	45670	7188
864	45720	7135
865	45773	7082
866	45837	7031
867	45900	6980
868	45962	6928
869	46020	6876
870	46077	6824
871	46147	6773
872	46197	6720
873	46257	6668
874	46309	6615
875	46368	6563
876	46426	6511
877	46478	6458
878	46532	6405
879	46594	6353
880	46661	6302
881	46723	6251
882	46779	6198
883	46844	6146
884	46910	6095
885	46972	6043
886	47035	5992
887	47106	5941
888	47171	5889
889	47240	5838
890	47303	5786
891	47365	5734
892	47417	5681
893	47476	5629
894	47525	5575
895	47588	5523
896	47648	5471
897	47731	5421
898	47821	5372
899	47881	5320
900	47936	5267
901	47988	5213
902	48037	5160
903	48095	5107
904	48157	5055
905	48221	5003
906	48281	4950
907	48328	4896
908	48386	4843
909	48445	4791
910	48493	4737
911	48551	4684
912	48609	4632
913	48672	4579
914	48723	4526
915	48770	4472
916	48817	4418
917	48865	4364
918	48914	4311
919	48970	4258
920	49023	4205
921	49074	4151
922	49131	4098
923	49188	4045
924	49236	3992
925	49280	3938
926	49329	3884
927	49376	3830
928	49426	3777
929	49475	3723
930	49523	3670
931	49573	3616
932	49620	3563
933	49667	3509
934	49721	3456
935	49769	3403
936	49821	3349
937	49873	3296
938	49928	3243
939	49981	3190
940	50031	3136
941	50089	3084
942	50147	3031
943	50202	2978
944	50255	2924
945	50308	2871
946	50361	2818
947	50412	2765
948	50460	2711
949	50512	2658
950	50566	2605
951	50629	2552
952	50689	2499
953	50744	2446
954	50792	2393
955	50846	2340
956	50899	2287
957	50957	2234
958	51021	2181
959	51084	2128
960	51146	2075
961	51209	2022
962	51261	1969
963	51316	1916
964	51369	1863
965	51419	1809
966	51480	1756
967	51533	1703
968	51584	1650
969	51653	1597
970	51699	1544
971	51759	1491
972	51819	1437
973	51869	1384
974	51921	1331
975	51969	1277
976	52019	1224
977	52083	1171
978	52132	1118
979	52195	1065
980	52246	1011
981	52300	958
982	52364	905
983	52418	852
984	52472	799
985	52522	745
986	52577	692
987	52629	639
988	52679	585
989	52731	532
990	52790	479
991	52840	426
992	52892	372
993	52964	319
994	53034	266
995	53100	213
996	53159	159
997	53227	106
998	53287	53
999	53339	0
